03bSnISJMiM[0],[b'sp'] [b'anyhow'] [b'sp'] [b'it'] [b'was'] [b'sp'] [b'really'] [b'good'],[2.4]
03bSnISJMiM[1],[b'sp'] [b'they'] [b'sp'] [b'didnt'] [b'sp'] [b'really'] [b'do'] [b'a'] [b'whole'] [b'sp'] [b'bunch'] [b'of'] [b'sp'] [b'background'] [b'info'] [b'on'] [b'sp'] [b'why'] [b'sp'] [b'she'] [b'has'] [b'to'] [b'sp'] [b'fight'] [b'and'] [b'be'] [b'prepared'],[-0.8]
03bSnISJMiM[2],[b'i'] [b'mean'] [b'they'] [b'did'] [b'a'] [b'little'] [b'bit'] [b'of'] [b'sp'] [b'it'],[-1.]
03bSnISJMiM[3],[b'sp'] [b'but'] [b'sp'] [b'not'] [b'a'] [b'whole'] [b'bunch'],[-1.75]
03bSnISJMiM[4],[b'and'] [b'they'] [b'i'] [b'guess'],[0.]
03bSnISJMiM[5],[b'they'] [b'live'] [b'up'] [b'with'] [b'more'],[0.]
03bSnISJMiM[6],[b'and'] [b'sp'] [b'but'] [b'sp'] [b'besides'] [b'that'] [b'it'] [b'was'] [b'all'] [b'over'] [b'sp'] [b'pretty'] [b'good'],[0.8]
03bSnISJMiM[7],[b'sp'] [b'and'] [b'sp'] [b'there'] [b'is'] [b'like'] [b'sp'] [b'someone'] [b'sp'] [b'while'] [b'sp'] [b'someone'] [b'sp'] [b'there'] [b'was'] [b'sp'] [b'a'] [b'lot'] [b'of'] [b'action'],[0.]
03bSnISJMiM[8],[b'sp'] [b'oh'] [b'my'] [b'god'] [b'a'] [b'lot'] [b'of'] [b'sp'] [b'action'],[0.2]
03bSnISJMiM[9],[b'sp'] [b'there'] [b'is'] [b'sad'] [b'part'],[-1.2]
03bSnISJMiM[10],[b'sp'] [b'a'] [b'lot'] [b'of'] [b'sp'] [b'sad'] [b'parts'],[-0.5]
03bSnISJMiM[11],[b'sp'] [b'but'] [b'it'] [b'was'] [b'really'] [b'really'] [b'awesome'],[2.2]
03bSnISJMiM[12],[b'sp'] [b'and'] [b'its'] [b'a'] [b'really'] [b'sp'] [b'funny'],[1.8]
0h-zjBukYpk[0],[b'sp'] [b'now'] [b'the'] [b'title'] [b'of'] [b'the'] [b'movie'] [b'basically'] [b'says'] [b'it'] [b'all'],[-0.4]
0h-zjBukYpk[1],[b'sp'] [b'now'] [b'im'] [b'not'] [b'even'] [b'gonna'] [b'sugar'] [b'coat'] [b'this'] [b'sp'] [b'this'] [b'movie'] [b'frustrated'] [b'me'] [b'to'] [b'such'] [b'an'] [b'extreme'] [b'extent'] [b'sp'] [b'that'] [b'i'] [b'was'] [b'loudly'] [b'exclaiming'] [b'why'] [b'sp'] [b'at'] [b'the'] [b'end'] [b'of'] [b'the'] [b'film'],[-2.8]
0h-zjBukYpk[2],[b'sp'] [b'my'] [b'reason'] [b'im'] [b'sp'] [b'a'] [b'comic'] [b'sp'] [b'book'] [b'fan'],[-0.2]
0h-zjBukYpk[3],[b'sp'] [b'that'] [b'like'] [b'to'] [b'see'] [b'comic'] [b'book'] [b'characters'] [b'treated'] [b'responsibly'],[-1.4]
0h-zjBukYpk[4],[b'sp'] [b'that'] [b'sp'] [b'huh'] [b'before'] [b'we'] [b'go'] [b'on'] [b'sp'] [b'with'] [b'that'] [b'sp'] [b'i'] [b'must'] [b'say'] [b'that'] [b'this'] [b'had'] [b'a'] [b'surprisingly'] [b'decent'] [b'cast'],[0.8]
